project,smellname,percentage
11-VRapp@VR-project,AssertionRoulette,-0.001
39M@M,AssertionRoulette,22.727272727272727
A11YTK@A11YTK,AssertionRoulette,75.0
addyi@SoftwareCity,AssertionRoulette,42.857142857142854
AdrianBZG@Medieval_Warfare_VR-Unity,AssertionRoulette,-0.001
aggie-coding-club@the-brute-vr,AssertionRoulette,-0.001
aidie8@VRHamsterBall,AssertionRoulette,-0.001
alanbrilliant@MolecularZoo,AssertionRoulette,-0.001
alexnaraghi@clash-of-clones,AssertionRoulette,-0.001
alvinquach@jpl-trek-vr,AssertionRoulette,10.16949152542373
ameliacode@ColoringPotVR,AssertionRoulette,-0.001
AmigoCap@ReViVD,AssertionRoulette,-0.001
AndreasRoither@Virtual-interaction-library,AssertionRoulette,-0.001
AndroidHMD@TowerVR,AssertionRoulette,-0.001
antoniomuso@Bowling-VR,AssertionRoulette,-0.001
anuya-karnik@VRPuzzleGame,AssertionRoulette,-0.001
arigo@BaroqueUI,AssertionRoulette,50.0
arm0ky0@SteamVR_Toolkit_Unity,AssertionRoulette,-0.001
AryanJ11@Savinodam,AssertionRoulette,-0.001
augcog@ISAACS_Interface,AssertionRoulette,39.175257731958766
aura-hull@AuraVRGame,AssertionRoulette,-0.001
Auros@SiraUtil,AssertionRoulette,-0.001
azb@UnityVRTutorialMaker,AssertionRoulette,-0.001
Barliesque@HandsOnVR,AssertionRoulette,-0.001
BioMotionLab@TUX,AssertionRoulette,14.285714285714285
Bitslo@CableGuardian,AssertionRoulette,-0.001
BIVROST@360PlayerWindows,AssertionRoulette,33.33333333333333
bobsixtyfour@vrchat-asl,AssertionRoulette,-0.001
BocuD@VRBuildHelper,AssertionRoulette,-0.001
BOLL7708@OpenVRNotificationPipe,AssertionRoulette,-0.001
brandonmousseau@vhvr-mod,AssertionRoulette,-0.001
Breality@ICS4U-FSEV2,AssertionRoulette,38.297872340425535
CallumHoughton18@ChemViewAR,AssertionRoulette,-0.001
CapsuleEndoscope@VirtualCapsuleEndoscopy,AssertionRoulette,-0.001
ChanyaVRC@VRCOscLib,AssertionRoulette,50.0
chrisjz@sm64vr,AssertionRoulette,-0.001
ChristophGeske@ARCoreInsideOutTrackingGearVr,AssertionRoulette,-0.001
CircuitLord@NotReaper,AssertionRoulette,-0.001
cjb3768@VR-Fearless,AssertionRoulette,-0.001
clemsonwesley@Virtual-Interview,AssertionRoulette,-0.001
cloudhu@ChineseChessVR,AssertionRoulette,-0.001
cnlohr@cnballpit-vrc,AssertionRoulette,-0.001
Codel1417@VRC-OSC-Audio-Reaction,AssertionRoulette,-0.001
cog-ethz@EVE,AssertionRoulette,-0.001
CognitiveVR@cvr-sdk-unity,AssertionRoulette,-0.001
comp159-fall17@final-project-prefabulous,AssertionRoulette,-0.001
concord-consortium@CEASAR,AssertionRoulette,50.0
CRamsan@BattleVR,AssertionRoulette,-0.001
CrispthoAlex@holbertonschool-unity,AssertionRoulette,59.375
CS4240-Group6@ProjectNurture,AssertionRoulette,-0.001
dakyneko@DakyModsCVR,AssertionRoulette,-0.001
danielcolinjames@Terminal,AssertionRoulette,-0.001
danielgeerts7@Huis-van-morgen,AssertionRoulette,-0.001
ddoak@peppy,AssertionRoulette,-0.001
demonixis@C3DE,AssertionRoulette,-0.001
dioram@Elektronik,AssertionRoulette,29.20353982300885
dioram@Elektronik-Tools-2.0,AssertionRoulette,29.20353982300885
dragon1672@cyclops-shooter,AssertionRoulette,-0.001
DrBibop@RoR2VRMod,AssertionRoulette,-0.001
drew-thompson@flori-vr,AssertionRoulette,-0.001
DroidBarber@ProjetCoursVirtuel,AssertionRoulette,-0.001
DSprtn@GTFO_VR_Plugin,AssertionRoulette,-0.001
Eclmist@Snowfield-VR,AssertionRoulette,-0.001
edwonedwon@VR-Infinite-Gesture,AssertionRoulette,-0.001
EliaFantini@RocketMan-a-VR-videogame-created-with-Unity,AssertionRoulette,-0.001
ErickSimoes@EscapeMuseumVR,AssertionRoulette,-0.001
esperecyan@UniVRMExtensions,AssertionRoulette,-0.001
Eusth@VRGIN,AssertionRoulette,-0.001
ExtendRealityLtd@VRTK,AssertionRoulette,-0.001
ExtendRealityLtd@Zinnia.Unity,AssertionRoulette,89.85745614035088
Faceplant-Games@epicslash,AssertionRoulette,-0.001
Facepunch@sbox-tabletennis-vr,AssertionRoulette,-0.001
FarahKamleh@Group4.Project3,AssertionRoulette,45.0
FarahKamleh@Pokemon-Themed-Kiosk-VR,AssertionRoulette,-0.001
FireEmerald@VRLabyrinth,AssertionRoulette,-0.001
foroozf001@unity-engine-gluten-game-vr,AssertionRoulette,-0.001
fralvarezz@Intention-Prediction-VR-DNN,AssertionRoulette,-0.001
framefield@vr-annotate,AssertionRoulette,-0.001
fufjvnvnf@NYVRHack,AssertionRoulette,-0.001
futurerealitylab@Holojam,AssertionRoulette,-0.001
GameLabGraz@Maroon,AssertionRoulette,0.0
gatosyocora@VRCAvatarEditor,AssertionRoulette,-0.001
gatosyocora@VRCAvatars3Tools,AssertionRoulette,-0.001
gatosyocora@VRCAvatars3Validator,AssertionRoulette,100.0
gatosyocora@VRCPhotoAlbum,AssertionRoulette,-0.001
Geetchopra@TheGameOfPoles,AssertionRoulette,-0.001
georgezoto@Virtual-Reality-Nanodegree,AssertionRoulette,-0.001
gomezportillo@mineRVa,AssertionRoulette,-0.001
gompocp@VRChatMods,AssertionRoulette,-0.001
googlearchive@tango-examples-unity,AssertionRoulette,-0.001
gpsnmeajp@EasyVirtualMotionCaptureForUnity,AssertionRoulette,-0.001
HalcyonGrid@halcyon,AssertionRoulette,54.285714285714285
halsafar@BeatSaberSongBrowser,AssertionRoulette,-0.001
holojam@HolojamSDK-Unity,AssertionRoulette,-0.001
hotbreakb@Capstone_Design,AssertionRoulette,33.68983957219251
HousekeepersStudio@OpendagVR2,AssertionRoulette,-0.001
hrntsm@STEVIA-Stb2U,AssertionRoulette,-0.001
i3wangyi@BeerAmaze,AssertionRoulette,-0.001
I5UCC@VRC-ASL_Gestures,AssertionRoulette,-0.001
iamtomhewitt@jet-dash-vr,AssertionRoulette,21.666666666666668
iamtomhewitt@vr-pacman,AssertionRoulette,28.26086956521739
IanPhilips@UnityOculusAndroidVRBrowser,AssertionRoulette,-0.001
icarue@VR-hospital-2017,AssertionRoulette,-0.001
icosa-gallery@open-brush,AssertionRoulette,44.230769230769226
ImmersiveAnalyticsUNCC@Immersive.Unity.Vis,AssertionRoulette,-0.001
immersivecognition@unity-experiment-framework,AssertionRoulette,43.13725490196079
immersive-command-system@ImmersiveDroneInterface,AssertionRoulette,-0.001
Innoactive@Creator,AssertionRoulette,40.52287581699346
intiface@intiface-game-haptics-router,AssertionRoulette,-0.001
jamppajoo@BunnyKiller,AssertionRoulette,-0.001
Jamy4000@VRDF,AssertionRoulette,-0.001
jcorvinus@HandshakeVR,AssertionRoulette,-0.001
jdknox@vrDemo,AssertionRoulette,0.0
jdmayer@VR_Esclab,AssertionRoulette,-0.001
jfox16@street-fighter-vr,AssertionRoulette,-0.001
JosephOHagan@SVRA,AssertionRoulette,-0.001
JoshLmao@DotA-Clicker-VR,AssertionRoulette,-0.001
Joshuarox100@VRC-Inventory-Inventor,AssertionRoulette,-0.001
JPMMaia@interactive-collaboration-platform-in-AR,AssertionRoulette,0.0
JScott@ViveGrip,AssertionRoulette,-0.001
JuanOlaya@Virtual-Reality,AssertionRoulette,-0.001
KandoozStudio@Kinteractions-VR,AssertionRoulette,-0.001
Kiarostami@Situated-Empathy-in-VR,AssertionRoulette,-0.001
knah@VRCMods,AssertionRoulette,-0.001
kookmin-sw@capstone-2020-17,AssertionRoulette,54.285714285714285
KospY@BasSDK,AssertionRoulette,84.21052631578947
