project,smellname,percentage
11-VRapp@VR-project,EagerTest,-0.001
39M@M,EagerTest,0.22727272727272727
A11YTK@A11YTK,EagerTest,0.125
addyi@SoftwareCity,EagerTest,0.2
AdrianBZG@Medieval_Warfare_VR-Unity,EagerTest,-0.001
aggie-coding-club@the-brute-vr,EagerTest,-0.001
aidie8@VRHamsterBall,EagerTest,-0.001
alanbrilliant@MolecularZoo,EagerTest,-0.001
alexnaraghi@clash-of-clones,EagerTest,-0.001
alvinquach@jpl-trek-vr,EagerTest,0.06779661016949153
ameliacode@ColoringPotVR,EagerTest,-0.001
AmigoCap@ReViVD,EagerTest,-0.001
AndreasRoither@Virtual-interaction-library,EagerTest,-0.001
AndroidHMD@TowerVR,EagerTest,-0.001
antoniomuso@Bowling-VR,EagerTest,-0.001
anuya-karnik@VRPuzzleGame,EagerTest,-0.001
arigo@BaroqueUI,EagerTest,0.0
arm0ky0@SteamVR_Toolkit_Unity,EagerTest,-0.001
AryanJ11@Savinodam,EagerTest,-0.001
augcog@ISAACS_Interface,EagerTest,0.15463917525773196
aura-hull@AuraVRGame,EagerTest,-0.001
Auros@SiraUtil,EagerTest,-0.001
azb@UnityVRTutorialMaker,EagerTest,-0.001
Barliesque@HandsOnVR,EagerTest,-0.001
BioMotionLab@TUX,EagerTest,0.0
Bitslo@CableGuardian,EagerTest,-0.001
BIVROST@360PlayerWindows,EagerTest,0.0
bobsixtyfour@vrchat-asl,EagerTest,-0.001
BocuD@VRBuildHelper,EagerTest,-0.001
BOLL7708@OpenVRNotificationPipe,EagerTest,-0.001
brandonmousseau@vhvr-mod,EagerTest,-0.001
Breality@ICS4U-FSEV2,EagerTest,0.44680851063829785
CallumHoughton18@ChemViewAR,EagerTest,-0.001
CapsuleEndoscope@VirtualCapsuleEndoscopy,EagerTest,-0.001
ChanyaVRC@VRCOscLib,EagerTest,0.08333333333333333
chrisjz@sm64vr,EagerTest,-0.001
ChristophGeske@ARCoreInsideOutTrackingGearVr,EagerTest,-0.001
CircuitLord@NotReaper,EagerTest,-0.001
cjb3768@VR-Fearless,EagerTest,-0.001
clemsonwesley@Virtual-Interview,EagerTest,-0.001
cloudhu@ChineseChessVR,EagerTest,-0.001
cnlohr@cnballpit-vrc,EagerTest,-0.001
Codel1417@VRC-OSC-Audio-Reaction,EagerTest,-0.001
cog-ethz@EVE,EagerTest,-0.001
CognitiveVR@cvr-sdk-unity,EagerTest,-0.001
comp159-fall17@final-project-prefabulous,EagerTest,-0.001
concord-consortium@CEASAR,EagerTest,0.0
CRamsan@BattleVR,EagerTest,-0.001
CrispthoAlex@holbertonschool-unity,EagerTest,0.03125
CS4240-Group6@ProjectNurture,EagerTest,-0.001
dakyneko@DakyModsCVR,EagerTest,-0.001
danielcolinjames@Terminal,EagerTest,-0.001
danielgeerts7@Huis-van-morgen,EagerTest,-0.001
ddoak@peppy,EagerTest,-0.001
demonixis@C3DE,EagerTest,-0.001
dioram@Elektronik,EagerTest,0.1415929203539823
dioram@Elektronik-Tools-2.0,EagerTest,0.1415929203539823
dragon1672@cyclops-shooter,EagerTest,-0.001
DrBibop@RoR2VRMod,EagerTest,-0.001
drew-thompson@flori-vr,EagerTest,-0.001
DroidBarber@ProjetCoursVirtuel,EagerTest,-0.001
DSprtn@GTFO_VR_Plugin,EagerTest,-0.001
Eclmist@Snowfield-VR,EagerTest,-0.001
edwonedwon@VR-Infinite-Gesture,EagerTest,-0.001
EliaFantini@RocketMan-a-VR-videogame-created-with-Unity,EagerTest,-0.001
ErickSimoes@EscapeMuseumVR,EagerTest,-0.001
esperecyan@UniVRMExtensions,EagerTest,-0.001
Eusth@VRGIN,EagerTest,-0.001
ExtendRealityLtd@VRTK,EagerTest,-0.001
ExtendRealityLtd@Zinnia.Unity,EagerTest,0.17982456140350878
Faceplant-Games@epicslash,EagerTest,-0.001
Facepunch@sbox-tabletennis-vr,EagerTest,-0.001
FarahKamleh@Group4.Project3,EagerTest,0.25
FarahKamleh@Pokemon-Themed-Kiosk-VR,EagerTest,-0.001
FireEmerald@VRLabyrinth,EagerTest,-0.001
foroozf001@unity-engine-gluten-game-vr,EagerTest,-0.001
fralvarezz@Intention-Prediction-VR-DNN,EagerTest,-0.001
framefield@vr-annotate,EagerTest,-0.001
fufjvnvnf@NYVRHack,EagerTest,-0.001
futurerealitylab@Holojam,EagerTest,-0.001
GameLabGraz@Maroon,EagerTest,0.024390243902439025
gatosyocora@VRCAvatarEditor,EagerTest,-0.001
gatosyocora@VRCAvatars3Tools,EagerTest,-0.001
gatosyocora@VRCAvatars3Validator,EagerTest,0.0
gatosyocora@VRCPhotoAlbum,EagerTest,-0.001
Geetchopra@TheGameOfPoles,EagerTest,-0.001
georgezoto@Virtual-Reality-Nanodegree,EagerTest,-0.001
gomezportillo@mineRVa,EagerTest,-0.001
gompocp@VRChatMods,EagerTest,-0.001
googlearchive@tango-examples-unity,EagerTest,-0.001
gpsnmeajp@EasyVirtualMotionCaptureForUnity,EagerTest,-0.001
HalcyonGrid@halcyon,EagerTest,0.3142857142857143
halsafar@BeatSaberSongBrowser,EagerTest,-0.001
holojam@HolojamSDK-Unity,EagerTest,-0.001
hotbreakb@Capstone_Design,EagerTest,0.3850267379679144
HousekeepersStudio@OpendagVR2,EagerTest,-0.001
hrntsm@STEVIA-Stb2U,EagerTest,-0.001
i3wangyi@BeerAmaze,EagerTest,-0.001
I5UCC@VRC-ASL_Gestures,EagerTest,-0.001
iamtomhewitt@jet-dash-vr,EagerTest,0.1
iamtomhewitt@vr-pacman,EagerTest,0.2608695652173913
IanPhilips@UnityOculusAndroidVRBrowser,EagerTest,-0.001
icarue@VR-hospital-2017,EagerTest,-0.001
icosa-gallery@open-brush,EagerTest,0.26282051282051283
ImmersiveAnalyticsUNCC@Immersive.Unity.Vis,EagerTest,-0.001
immersivecognition@unity-experiment-framework,EagerTest,0.21568627450980393
immersive-command-system@ImmersiveDroneInterface,EagerTest,-0.001
Innoactive@Creator,EagerTest,0.16993464052287582
intiface@intiface-game-haptics-router,EagerTest,-0.001
jamppajoo@BunnyKiller,EagerTest,-0.001
Jamy4000@VRDF,EagerTest,-0.001
jcorvinus@HandshakeVR,EagerTest,-0.001
jdknox@vrDemo,EagerTest,0.0
jdmayer@VR_Esclab,EagerTest,-0.001
jfox16@street-fighter-vr,EagerTest,-0.001
JosephOHagan@SVRA,EagerTest,-0.001
JoshLmao@DotA-Clicker-VR,EagerTest,-0.001
Joshuarox100@VRC-Inventory-Inventor,EagerTest,-0.001
JPMMaia@interactive-collaboration-platform-in-AR,EagerTest,0.0
JScott@ViveGrip,EagerTest,-0.001
JuanOlaya@Virtual-Reality,EagerTest,-0.001
KandoozStudio@Kinteractions-VR,EagerTest,-0.001
Kiarostami@Situated-Empathy-in-VR,EagerTest,-0.001
knah@VRCMods,EagerTest,-0.001
kookmin-sw@capstone-2020-17,EagerTest,0.02857142857142857
KospY@BasSDK,EagerTest,0.05263157894736842
kurotu@VRCQuestTools,EagerTest,0.7142857142857143
kyleqian@SOUNDS-OF-THE-WOODS,EagerTest,-0.001
Louis-de-Lavenne-de-Choulot@ALGOSUP_2022_Project_4_F,EagerTest,-0.001
M0000000N@KGA_SUPERmetaVR,EagerTest,-0.001
MaddieFish@Echoes-of-the-Tides,EagerTest,-0.001
marcusleeeugene@FireBusters-VR,EagerTest,-0.001
MartinHahner@VR_GAME_2017,EagerTest,-0.001
Mastergalen@Supermarket-Sim,EagerTest,-0.001
mateo-a@holbertonschool-csharp,EagerTest,0.0
Math0424@SpaceEngineersVR,EagerTest,-0.001
matryx@calcflow,EagerTest,-0.001
MatthewSloyan@final-year-applied-project-and-minor-dissertation,EagerTest,0.0
mattrdowney@planetaria,EagerTest,0.375
mayankrastogi@EveryDayIsHalloween,EagerTest,-0.001
Mayor-Cam@VR-Disk-Wars,EagerTest,-0.001
MayouKurayami@KK_CyuVR,EagerTest,-0.001
MayouKurayami@KK_SetParentVR,EagerTest,-0.001
mhwlng@fip-elite,EagerTest,-0.001
MinadukiSekina@VRCToolBox,EagerTest,-0.001
MirianaMartini@VANGogh,EagerTest,-0.001
mobfishgmbh@Cardboard-VR-Unity-SDK,EagerTest,-0.001
monkog@3D-Virtual-Fitting-Room,EagerTest,-0.001
MoonMotionProject@MoonMotion,EagerTest,-0.001
MozillaReality@FirefoxRealityPC,EagerTest,-0.001
MPIB@arc-vr,EagerTest,-0.001
mrdofu@PacmanVR,EagerTest,-0.001
myieye@cube-arena,EagerTest,0.0
mynameisjohn@wrapVR,EagerTest,-0.001
nadir500@USN-VR-Unilateral-spatial-neglect-virtual-reality,EagerTest,0.3652173913043478
NathanJVella@VR-Space-Game,EagerTest,-0.001
neos-modding-group@NeosModLoader,EagerTest,-0.001
NgoJunHaoJason@CZ4001,EagerTest,-0.001
nicoco007@DynamicOpenVR,EagerTest,-0.001
nikhilnxvverma1@vr-photo-album,EagerTest,-0.001
njm2360@VRChatGPUTool,EagerTest,-0.001
Noxalus@VR-Escape-Room,EagerTest,-0.001
oliviasculley@nervv,EagerTest,-0.001
omar92@RhythmAttack-VR,EagerTest,-0.001
omikun@OrbitalVector,EagerTest,-0.001
onejgordon@gaze_lanterns,EagerTest,-0.001
Oscheibe@ARIndoorNav,EagerTest,-0.001
OSVR@OSVR-Unity,EagerTest,-0.001
OSVR@OSVR-Unity-Palace-Demo,EagerTest,-0.001
PastaTime@DataRepVR,EagerTest,0.1
paulmriordan@MusicVR,EagerTest,-0.001
pcriadoperez@readyPlayer2,EagerTest,-0.001
pemami4911@V-RAVE,EagerTest,-0.001
PfeifferMicha@imhotep,EagerTest,-0.001
PierreGe@VR-Picture-Browser,EagerTest,-0.001
PKBeam@Edda,EagerTest,-0.001
pkshetlie@RagnaCustomsApp,EagerTest,-0.001
plaidpants@ANKH-VR,EagerTest,-0.001
POINT-VR@POINT-VR-Chapter-1,EagerTest,-0.001
popabczhang@CityMatrixAR,EagerTest,-0.001
pupil-labs@hmd-eyes,EagerTest,-0.001
quintesse@PlayoVR,EagerTest,-0.001
Rafapp@SJSU-MaterialsEngineering-VR-lab,EagerTest,-0.001
Raicuparta@nomai-vr,EagerTest,-0.001
Raicuparta@two-forks-vr,EagerTest,-0.001
RaithSphere@NeosVR-Stuff,EagerTest,-0.001
rbennett22@Zelda_VR,EagerTest,-0.001
realitycollective@com.realitytoolkit.core,EagerTest,0.05555555555555555
RealityVirtually2019@SoundSpace,EagerTest,-0.001
rh-galaxy@galaxyvr,EagerTest,-0.001
RhubarbVR@RhubarbVR,EagerTest,-0.001
RhubarbVR@RhubarbVR_Old,EagerTest,-0.001
ricardo1470@holbertonschool-unity,EagerTest,-0.001
Rigaro@VRProEP,EagerTest,-0.001
robcog-iai@RobCoG,EagerTest,-0.001
ronellsicat@DxR,EagerTest,-0.001
RussellXie7@Unity_Hololens_Dev,EagerTest,1.0
S00177754@Project300,EagerTest,-0.001
Saarg@Dungeon-VR,EagerTest,-0.001
Saticmotion@Vivista,EagerTest,-0.001
Sauceke@LoveMachine,EagerTest,-0.001
sayakbiswas@Procrastination-VR,EagerTest,-0.001
scott0123@1-HP-Wizard,EagerTest,-0.001
SGNLA@unity-arkit-plugin,EagerTest,-0.001
sh-akira@VirtualMotionCapture,EagerTest,-0.001
ShanguUncle@UnityChatSDK,EagerTest,-0.001
SkinnyDevi@MU-VR-Experience,EagerTest,-0.001
SMBenedict173@General-Anesthesia-Simulator,EagerTest,0.13768115942028986
SpaceVR-O1@Human,EagerTest,-0.001
spandananitdgp@Egyptian-Mummification-VR-Experience,EagerTest,-0.001
stefaanvermassen@virtual-museum-app,EagerTest,0.22916666666666666
takafumihoriuchi@SmartCodesignVR,EagerTest,-0.001
tana@Mondeto,EagerTest,0.2727272727272727
Team-on@UnityGameTemplate,EagerTest,-0.001
Teamprojekt-SS2018@VR_Menschenstroeme,EagerTest,-0.001
tetra-fox@VRCMods,EagerTest,-0.001
TheFitzZZ@DCS-Config-Manager,EagerTest,-0.001
TomorrowTodayLabs@NewtonVR,EagerTest,-0.001
TrevTV@DawnVR,EagerTest,-0.001
TritonXR@VRUniverse,EagerTest,-0.001
ttanatb@VRsus-guARdian,EagerTest,-0.001
tterpi@VRSketchingGeometry,EagerTest,0.47058823529411764
Twometer@twometer-vr,EagerTest,-0.001
ucsdlib@geiselVR,EagerTest,-0.001
ultraleap@UnityPlugin,EagerTest,-0.001
ultraleap@XR-Keyboard,EagerTest,-0.001
UMI3D@UMI3D-SDK,EagerTest,0.09779179810725552
Unity-Technologies@EditorXR,EagerTest,0.14285714285714285
Unity-Technologies@InputSystem,EagerTest,0.31868131868131866
Unity-Technologies@VRAlchemyLab,EagerTest,-0.001
UniVR@GolfVR,EagerTest,-0.001
unshame@VRProjectMKIII,EagerTest,-0.001
uqidoacademy@PhysiotherapyVR,EagerTest,-0.001
ur-whitelab@simview,EagerTest,-0.001
vihanchaudhry@vroom,EagerTest,-0.001
vimeo@vimeo-unity-sdk,EagerTest,0.03125
virtuallynaked@virtually-naked,EagerTest,-0.001
VIRTUE-DBIS@virtual-exhibition-presenter,EagerTest,-0.001
vitrivr@vitrivr-vr,EagerTest,-0.001
Vivek-sagar@WeCanTango,EagerTest,-0.001
Vivero@Kerbal-VR,EagerTest,-0.001
ViveSoftware@ViveInputUtility-Unity,EagerTest,-0.001
VolcanicArts@VRCOSC,EagerTest,-0.001
Vova-SH@AirAttack,EagerTest,-0.001
VPRL@Virginia-Philosophy-Reality-Lab,EagerTest,-0.001
vradarserver@vrs,EagerTest,-0.001
VRatPolito@LET-VR,EagerTest,-0.001
VRCBilliards@vrcbce,EagerTest,-0.001
vrchatapi@vrchatapi-csharp,EagerTest,-0.001
VRcolVento@ChatVRoom,EagerTest,-0.001
vrm-c@UniVRM,EagerTest,0.21739130434782608
VRTRIX@VRTRIXGlove_Unity3D_SDK,EagerTest,-0.001
VRUX-CO@VRDesignLab,EagerTest,-0.001
watson-developer-cloud@unity-sdk,EagerTest,0.004807692307692308
WebGLHitASnag@VR-Project-2,EagerTest,-0.001
Wellwick@IVVR,EagerTest,-0.001
WetzoldStudios@traVRsal-sdk,EagerTest,1.0
whx-prog@The-Seed-Link-Future,EagerTest,-0.001
widVE@UniCAVE,EagerTest,-0.001
willychang21@MapboxARGame,EagerTest,0.15463917525773196
woosungkim@LeapMotionVRInterface,EagerTest,-0.001
Xenocide93@MultiplayerFPSCardboardGame,EagerTest,-0.001
xiaopeng12138@MaiDXR,EagerTest,-0.001
xiaopeng12138@WACVR,EagerTest,-0.001
xiaoye97@VRoidChinese,EagerTest,-0.001
xire-@graphulus,EagerTest,-0.001
XRTK@com.xrtk.core,EagerTest,0.0821917808219178
XxGodmoonxX@AR-AwaParty,EagerTest,-0.001
XxGodmoonxX@Augmented-Nightclub-Experience,EagerTest,-0.001
yanorei32@VRChatRejoinTool,EagerTest,-0.001
yutakasi634@Coral-iMD-VR,EagerTest,-0.001
